N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,rice
60,55,44,23.004459,82.320763,7.840207,263.964248,rice
74,35,40,26.491096,80.158363,6.980401,242.864034,rice
78,42,42,20.130175,81.604873,7.628473,262.717340,rice
69,37,42,23.059141,82.225576,5.858818,251.827210,rice
69,55,38,22.491861,85.003151,5.971719,256.514798,rice
94,53,41,22.585021,80.565633,7.036311,233.741983,rice
89,54,38,22.662493,82.697071,5.924555,248.071498,rice
68,58,38,26.724752,81.842597,7.377062,258.491021,rice
40,20,40,24.0,80.0,6.0,200.0,maize
42,18,38,26.0,75.0,6.2,180.0,maize
38,22,42,23.5,78.0,5.8,195.0,maize
45,25,35,25.0,77.0,6.5,185.0,maize
41,19,39,27.0,76.0,6.1,175.0,maize
20,30,10,29.0,50.0,7.0,50.0,chickpea
22,32,12,28.5,52.0,7.2,55.0,chickpea
18,28,8,30.0,48.0,6.8,45.0,chickpea
25,35,15,27.0,55.0,7.5,60.0,chickpea
21,31,11,29.5,51.0,7.1,48.0,chickpea
20,60,20,28.0,65.0,5.5,100.0,kidneybeans
22,62,22,27.5,67.0,5.7,105.0,kidneybeans
18,58,18,29.0,63.0,5.3,95.0,kidneybeans
25,65,25,28.5,68.0,5.8,110.0,kidneybeans
21,61,21,27.0,66.0,5.6,102.0,kidneybeans
0,40,10,27.0,40.0,6.0,60.0,pigeonpeas
2,42,12,26.0,42.0,6.2,65.0,pigeonpeas
1,38,8,28.0,38.0,5.8,55.0,pigeonpeas
3,45,15,27.5,45.0,6.5,70.0,pigeonpeas
0,41,11,26.5,41.0,6.1,62.0,pigeonpeas
40,60,20,23.0,50.0,6.5,60.0,mothbeans
42,62,22,22.5,52.0,6.7,65.0,mothbeans
38,58,18,24.0,48.0,6.3,55.0,mothbeans
45,65,25,23.5,55.0,6.8,70.0,mothbeans
41,61,21,22.0,51.0,6.6,62.0,mothbeans
20,40,20,24.0,60.0,5.5,50.0,mungbean
22,42,22,23.5,62.0,5.7,55.0,mungbean
18,38,18,25.0,58.0,5.3,45.0,mungbean
25,45,25,24.5,65.0,5.8,60.0,mungbean
21,41,21,23.0,61.0,5.6,52.0,mungbean
30,60,20,32.0,90.0,6.0,200.0,blackgram
32,62,22,31.5,92.0,6.2,205.0,blackgram
28,58,18,33.0,88.0,5.8,195.0,blackgram
35,65,25,32.5,95.0,6.5,210.0,blackgram
31,61,21,31.0,91.0,6.1,202.0,blackgram
20,50,30,29.0,85.0,6.5,120.0,lentil
22,52,32,28.5,87.0,6.7,125.0,lentil
18,48,28,30.0,83.0,6.3,115.0,lentil
25,55,35,29.5,90.0,6.8,130.0,lentil
21,51,31,28.0,86.0,6.6,122.0,lentil
100,20,20,40.0,90.0,5.5,200.0,pomegranate
102,22,22,39.5,92.0,5.7,205.0,pomegranate
98,18,18,41.0,88.0,5.3,195.0,pomegranate
105,25,25,40.5,95.0,5.8,210.0,pomegranate
101,21,21,39.0,91.0,5.6,202.0,pomegranate
100,20,20,24.0,80.0,6.0,100.0,banana
102,22,22,23.5,82.0,6.2,105.0,banana
98,18,18,25.0,78.0,5.8,95.0,banana
105,25,25,24.5,85.0,6.5,110.0,banana
101,21,21,23.0,81.0,6.1,102.0,banana
20,30,50,23.0,85.0,6.0,150.0,mango
22,32,52,22.5,87.0,6.2,155.0,mango
18,28,48,24.0,83.0,5.8,145.0,mango
25,35,55,23.5,90.0,6.5,160.0,mango
21,31,51,22.0,86.0,6.1,152.0,mango
30,30,50,25.0,75.0,5.5,120.0,grapes
32,32,52,24.5,77.0,5.7,125.0,grapes
28,28,48,26.0,73.0,5.3,115.0,grapes
35,35,55,25.5,80.0,5.8,130.0,grapes
31,31,51,24.0,76.0,5.6,122.0,grapes
20,20,40,24.0,85.0,6.0,100.0,watermelon
22,22,42,23.5,87.0,6.2,105.0,watermelon
18,18,38,25.0,83.0,5.8,95.0,watermelon
25,25,45,24.5,90.0,6.5,110.0,watermelon
21,21,41,23.0,86.0,6.1,102.0,watermelon
20,20,40,26.0,85.0,6.0,90.0,muskmelon
22,22,42,25.5,87.0,6.2,95.0,muskmelon
18,18,38,27.0,83.0,5.8,85.0,muskmelon
25,25,45,26.5,90.0,6.5,100.0,muskmelon
21,21,41,25.0,86.0,6.1,92.0,muskmelon
30,60,30,28.0,85.0,5.5,120.0,apple
32,62,32,27.5,87.0,5.7,125.0,apple
28,58,28,29.0,83.0,5.3,115.0,apple
35,65,35,28.5,90.0,5.8,130.0,apple
31,61,31,27.0,86.0,5.6,122.0,apple
20,30,50,29.0,90.0,5.5,200.0,orange
22,32,52,28.5,92.0,5.7,205.0,orange
18,28,48,30.0,88.0,5.3,195.0,orange
25,35,55,29.5,95.0,5.8,210.0,orange
21,31,51,28.0,91.0,5.6,202.0,orange
20,40,10,29.0,90.0,5.5,200.0,papaya
22,42,12,28.5,92.0,5.7,205.0,papaya
18,38,8,30.0,88.0,5.3,195.0,papaya
25,45,15,29.5,95.0,5.8,210.0,papaya
21,41,11,28.0,91.0,5.6,202.0,papaya
20,20,40,35.0,30.0,7.0,20.0,coconut
22,22,42,34.5,32.0,7.2,25.0,coconut
18,18,38,36.0,28.0,6.8,15.0,coconut
25,25,45,35.5,35.0,7.5,30.0,coconut
21,21,41,34.0,31.0,7.1,22.0,coconut
80,40,40,23.0,80.0,6.0,100.0,cotton
82,42,42,22.5,82.0,6.2,105.0,cotton
78,38,38,24.0,78.0,5.8,95.0,cotton
85,45,45,23.5,85.0,6.5,110.0,cotton
81,41,41,22.0,81.0,6.1,102.0,cotton
10,30,20,29.0,65.0,6.0,180.0,jute
12,32,22,28.5,67.0,6.2,185.0,jute
8,28,18,30.0,63.0,5.8,175.0,jute
15,35,25,29.5,70.0,6.5,190.0,jute
11,31,21,28.0,66.0,6.1,182.0,jute
10,50,30,24.0,85.0,5.5,150.0,coffee
12,52,32,23.5,87.0,5.7,155.0,coffee
8,48,28,25.0,83.0,5.3,145.0,coffee
15,55,35,24.5,90.0,5.8,160.0,coffee
11,51,31,23.0,86.0,5.6,152.0,coffee
60,40,120,25.0,85.0,5.5,150.0,turmeric
62,42,118,24.5,87.0,5.3,155.0,turmeric
58,38,122,25.5,83.0,5.7,145.0,turmeric
